"행정구역","2010년_남_총인구수","2010년_남_연령구간인구수","2010년_남_0세","2010년_남_1세","2010년_남_2세","2010년_남_3세","2010년_남_4세","2010년_남_5세","2010년_남_6세","2010년_남_7세","2010년_남_8세","2010년_남_9세","2010년_남_10세","2010년_남_11세","2010년_남_12세","2010년_남_13세","2010년_남_14세","2010년_남_15세","2010년_남_16세","2010년_남_17세","2010년_남_18세","2010년_남_19세","2010년_남_20세","2010년_남_21세","2010년_남_22세","2010년_남_23세","2010년_남_24세","2010년_남_25세","2010년_남_26세","2010년_남_27세","2010년_남_28세","2010년_남_29세","2010년_남_30세","2010년_남_31세","2010년_남_32세","2010년_남_33세","2010년_남_34세","2010년_남_35세","2010년_남_36세","2010년_남_37세","2010년_남_38세","2010년_남_39세","2010년_남_40세","2010년_남_41세","2010년_남_42세","2010년_남_43세","2010년_남_44세","2010년_남_45세","2010년_남_46세","2010년_남_47세","2010년_남_48세","2010년_남_49세","2010년_남_50세","2010년_남_51세","2010년_남_52세","2010년_남_53세","2010년_남_54세","2010년_남_55세","2010년_남_56세","2010년_남_57세","2010년_남_58세","2010년_남_59세","2010년_남_60세","2010년_남_61세","2010년_남_62세","2010년_남_63세","2010년_남_64세","2010년_남_65세","2010년_남_66세","2010년_남_67세","2010년_남_68세","2010년_남_69세","2010년_남_70세","2010년_남_71세","2010년_남_72세","2010년_남_73세","2010년_남_74세","2010년_남_75세","2010년_남_76세","2010년_남_77세","2010년_남_78세","2010년_남_79세","2010년_남_80세","2010년_남_81세","2010년_남_82세","2010년_남_83세","2010년_남_84세","2010년_남_85세","2010년_남_86세","2010년_남_87세","2010년_남_88세","2010년_남_89세","2010년_남_90세","2010년_남_91세","2010년_남_92세","2010년_남_93세","2010년_남_94세","2010년_남_95세","2010년_남_96세","2010년_남_97세","2010년_남_98세","2010년_남_99세","2010년_남_100세 이상","2010년_여_총인구수","2010년_여_연령구간인구수","2010년_여_0세","2010년_여_1세","2010년_여_2세","2010년_여_3세","2010년_여_4세","2010년_여_5세","2010년_여_6세","2010년_여_7세","2010년_여_8세","2010년_여_9세","2010년_여_10세","2010년_여_11세","2010년_여_12세","2010년_여_13세","2010년_여_14세","2010년_여_15세","2010년_여_16세","2010년_여_17세","2010년_여_18세","2010년_여_19세","2010년_여_20세","2010년_여_21세","2010년_여_22세","2010년_여_23세","2010년_여_24세","2010년_여_25세","2010년_여_26세","2010년_여_27세","2010년_여_28세","2010년_여_29세","2010년_여_30세","2010년_여_31세","2010년_여_32세","2010년_여_33세","2010년_여_34세","2010년_여_35세","2010년_여_36세","2010년_여_37세","2010년_여_38세","2010년_여_39세","2010년_여_40세","2010년_여_41세","2010년_여_42세","2010년_여_43세","2010년_여_44세","2010년_여_45세","2010년_여_46세","2010년_여_47세","2010년_여_48세","2010년_여_49세","2010년_여_50세","2010년_여_51세","2010년_여_52세","2010년_여_53세","2010년_여_54세","2010년_여_55세","2010년_여_56세","2010년_여_57세","2010년_여_58세","2010년_여_59세","2010년_여_60세","2010년_여_61세","2010년_여_62세","2010년_여_63세","2010년_여_64세","2010년_여_65세","2010년_여_66세","2010년_여_67세","2010년_여_68세","2010년_여_69세","2010년_여_70세","2010년_여_71세","2010년_여_72세","2010년_여_73세","2010년_여_74세","2010년_여_75세","2010년_여_76세","2010년_여_77세","2010년_여_78세","2010년_여_79세","2010년_여_80세","2010년_여_81세","2010년_여_82세","2010년_여_83세","2010년_여_84세","2010년_여_85세","2010년_여_86세","2010년_여_87세","2010년_여_88세","2010년_여_89세","2010년_여_90세","2010년_여_91세","2010년_여_92세","2010년_여_93세","2010년_여_94세","2010년_여_95세","2010년_여_96세","2010년_여_97세","2010년_여_98세","2010년_여_99세","2010년_여_100세 이상"
"강원도 삼척시 (4223000000)","36,367","36,367","247","237","226","283","268","243","264","281","328","337","416","399","370","383","432","426","443","450","517","761","656","494","593","605","530","497","429","404","436","479","413","461","416","450","457","494","564","613","597","623","591","626","608","572","583","519","539","536","651","704","750","680","622","637","550","599","540","495","574","319","424","447","448","433","364","333","380","367","385","333","353","347","337","284","266","289","248","189","141","144","108","93","87","69","47","54","34","40","24","19","14","15","10","7","2","3","2","1","2","2","5","35,679","35,679","224","231","246","250","220","235","297","270","309","298","359","374","402","392","398","407","370","399","459","716","623","464","426","351","324","332","324","354","356","369","373","354","372","375","399","441","454","463","420","462","464","486","503","472","470","514","496","488","552","708","726","683","573","631","593","599","507","495","514","349","428","407","485","422","355","375","441","483","536","468","492","458","447","396","365","400","396","296","316","264","269","225","198","171","161","157","117","106","72","53","36","30","44","28","17","12","17","2","3","3","13"
"강원도 삼척시 도계읍(4223025000)","6,531","6,531","23","34","29","34","37","36","33","40","39","53","64","59","68","55","62","81","70","74","142","276","186","107","144","141","100","81","70","56","68","81","52","69","67","62","72","70","77","107","86","85","96","89","91","87","93","87","87","100","121","130","145","128","128","143","127","132","111","97","107","58","75","74","97","81","80","58","94","66","71","65","73","70","57","38","42","36","46","30","27","16","17","16","8","10","6","5","6","1","4","4","1","1","3","0","1","2","0","1","0","1","1","6,354","6,354","24","31","31","34","37","32","37","32","37","49","58","54","50","66","60","60","60","64","138","326","277","109","82","60","69","52","50","63","56","68","54","56","54","48","61","55","64","64","56","75","70","77","94","78","71","91","96","77","103","144","127","129","113","123","109","103","82","91","98","76","78","75","92","69","70","71","77","90","105","93","82","89","86","65","53","57","48","57","48","34","34","22","32","21","14","19","13","5","10","8","8","5","2","5","1","1","2","0","2","1","5"
"강원도 삼척시 원덕읍(4223025300)","1,761","1,761","8","3","3","6","10","5","4","6","11","18","18","14","12","15","20","15","13","12","19","17","27","18","21","14","23","18","24","11","20","20","21","14","20","19","17","19","24","22","31","31","24","22","25","23","26","20","32","28","36","38","45","33","28","40","31","17","34","34","28","15","28","30","25","29","19","15","24","33","32","28","37","23","22","23","24","24","19","21","9","12","11","8","9","10","4","3","3","2","2","2","1","1","1","1","1","0","0","0","0","0","3","1,802","1,802","6","7","12","4","8","7","9","5","12","13","10","13","15","9","15","13","12","12","14","10","12","14","13","12","15","16","13","11","11","13","9","15","12","13","7","14","10","14","13","18","11","19","11","18","9","25","26","25","20","27","29","35","32","23","43","31","31","23","29","23","35","31","39","39","21","22","42","38","35","29","59","35","31","45","26","41","39","25","23","25","24","22","15","17","13","15","20","13","10","2","3","3","3","3","2","3","2","0","0","1","0"
"강원도 삼척시 원덕읍임원출장소(4223025400)","930","930","5","5","4","4","2","4","4","6","7","7","14","5","10","6","9","9","8","6","12","9","11","12","13","19","13","7","8","8","8","7","3","8","5","5","11","5","7","13","12","8","13","13","16","13","14","15","9","8","21","22","25","11","16","21","16","18","21","27","11","20","16","18","9","17","12","12","15","17","19","10","20","14","15","7","9","12","14","8","8","4","7","3","3","3","2","4","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1,023","1,023","1","2","4","0","3","3","7","4","4","2","7","6","8","11","6","12","6","13","13","10","3","7","10","9","7","9","7","7","4","8","9","8","5","5","7","6","9","7","5","14","8","5","10","8","15","15","13","13","21","29","17","20","16","22","22","14","15","19","19","16","12","18","30","19","18","14","23","18","29","24","20","18","17","14","25","11","19","11","14","12","7","11","10","5","11","6","2","4","7","2","1","0","3","2","0","0","1","0","0","0","0"
"강원도 삼척시 근덕면(4223031000)","2,954","2,954","9","8","9","9","7","9","13","15","16","17","19","20","16","14","22","25","42","43","39","27","33","38","45","46","41","52","39","30","30","24","35","29","28","22","24","26","36","44","47","42","38","51","53","46","45","46","47","44","46","60","50","69","50","55","41","62","50","29","58","32","35","53","37","38","38","38","40","35","50","39","45","61","52","46","34","58","34","27","21","22","13","13","11","8","9","11","9","6","1","3","0","2","1","1","0","1","0","0","0","0","0","2,893","2,893","7","4","5","16","7","14","13","16","13","9","17","25","13","16","21","26","18","20","16","25","27","18","21","22","12","20","19","21","28","13","22","21","12","19","17","19","14","15","21","22","20","29","25","28","32","23","33","35","38","57","64","51","43","61","47","56","46","48","41","21","49","39","52","48","43","51","58","61","65","64","72","64","59","59","54","60","63","33","56","63","42","40","31","35","28","26","16","16","11","12","7","5","12","3","5","4","4","0","0","0","1"
"강원도 삼척시 하장면(4223032000)","827","827","4","0","4","1","3","2","1","5","0","5","6","7","3","3","1","8","6","6","6","7","8","9","9","8","9","12","13","12","9","6","8","8","8","8","8","8","7","24","10","11","9","16","18","11","10","7","11","10","15","24","27","22","24","16","12","19","16","11","23","13","10","15","10","16","7","5","11","7","9","15","12","11","14","8","13","11","12","11","7","8","6","3","4","5","2","1","2","0","1","0","1","2","1","0","0","0","0","0","0","0","0","712","712","0","1","1","3","1","2","3","5","4","5","5","4","12","12","8","7","10","4","8","9","4","7","6","9","6","7","8","7","7","4","4","4","6","1","3","7","4","4","4","4","6","4","8","10","11","10","15","7","6","21","19","21","15","14","17","18","12","18","10","5","9","7","11","10","12","6","11","18","14","11","10","11","9","15","14","13","10","10","9","8","9","6","2","4","5","3","2","1","1","2","1","0","1","0","0","0","0","0","0","0","0"
"강원도 삼척시 노곡면(4223033000)","430","430","1","1","1","0","2","2","1","2","0","1","2","4","1","0","1","1","3","2","1","3","4","5","4","5","3","4","2","2","2","6","2","0","4","1","6","4","8","6","6","5","10","10","10","8","10","9","10","6","8","12","7","9","12","10","11","3","9","11","4","5","4","5","11","7","7","5","7","9","5","4","6","8","7","9","5","7","4","7","6","4","4","1","3","4","2","2","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","387","387","0","0","2","2","0","0","0","0","2","2","2","0","0","3","2","1","0","5","5","3","1","2","7","1","2","6","4","4","1","1","2","1","0","0","3","3","1","0","3","4","6","1","1","4","1","2","4","3","4","8","4","8","5","5","6","6","6","7","6","3","4","8","8","7","7","7","7","12","9","13","7","8","10","11","10","11","9","7","9","7","11","3","5","8","5","3","5","2","4","1","2","0","2","0","0","0","0","0","0","0","0"
"강원도 삼척시 미로면(4223034000)","1,111","1,111","9","6","6","4","7","3","4","6","10","6","9","10","8","7","8","7","9","10","6","16","8","6","7","16","9","8","11","9","15","16","15","12","13","14","16","27","20","15","15","16","17","19","17","20","30","15","13","14","16","23","18","18","14","8","20","19","23","19","14","7","20","17","19","14","20","17","17","13","18","21","17","11","19","18","18","13","18","5","12","10","4","2","9","3","1","4","1","4","1","1","0","0","0","1","0","0","0","0","0","0","0","1,005","1,005","5","4","9","5","4","1","6","2","5","4","0","9","6","7","11","8","12","5","8","6","10","9","5","3","8","9","3","6","12","11","6","5","8","10","8","9","6","5","3","6","9","9","10","11","9","8","15","6","15","16","17","16","13","14","12","23","13","22","21","13","16","17","15","14","11","18","15","21","27","26","22","19","22","15","21","25","28","24","22","14","15","12","9","6","8","8","4","6","2","2","3","1","2","1","2","0","1","0","0","0","0"
"강원도 삼척시 가곡면(4223035000)","384","384","0","2","3","0","2","0","0","2","0","3","1","4","2","5","2","2","2","3","3","1","4","2","2","4","6","3","3","2","3","6","3","4","5","2","7","7","5","7","4","10","4","6","1","3","8","6","8","5","8","6","8","10","7","7","6","3","8","8","11","2","13","9","8","5","6","6","6","8","8","5","5","6","9","6","4","8","3","4","3","2","0","3","1","0","1","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","387","387","1","2","0","0","1","1","2","1","0","0","2","4","1","1","3","2","4","1","3","3","1","3","0","1","0","4","1","2","2","3","3","3","0","0","3","2","3","4","0","2","4","7","0","7","4","6","3","4","5","6","9","8","3","8","11","9","10","5","13","5","10","6","6","8","4","7","11","10","10","9","11","6","9","6","8","7","12","9","6","3","7","4","4","5","2","5","2","2","0","1","0","0","0","0","0","0","0","1","0","0","0"
"강원도 삼척시 신기면(4223036000)","438","438","0","0","1","1","2","2","4","1","2","1","1","1","0","1","4","3","2","1","1","2","2","1","1","0","5","3","10","5","7","2","5","3","4","10","8","7","13","7","13","10","6","6","9","4","4","10","5","13","7","8","9","8","12","6","7","10","6","6","14","5","7","4","10","7","3","9","6","6","10","8","11","4","3","8","8","6","5","3","2","3","2","3","2","0","0","3","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","360","360","0","3","2","1","3","1","2","1","2","2","1","3","1","3","1","0","2","2","2","4","3","1","4","3","5","3","2","1","3","5","5","2","3","4","1","1","1","2","2","4","1","3","2","1","3","6","4","4","3","6","14","8","7","5","2","4","5","7","5","4","5","7","3","11","5","7","6","7","11","7","9","8","10","12","11","8","10","5","9","4","3","3","2","1","3","1","2","1","0","0","0","2","1","0","1","0","0","0","0","0","0"
