※ 매년 말일자 통계 현황,,,,,,,
,,2011년,,,,,
행정기관코드,행정기관,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
1100000000,서울특별시  ,"10,249,679","4,192,752",          2.44,"5,073,899","5,175,780",          0.98
1111000000,서울특별시 종로구 ,"168,382","76,688",          2.20,"83,931","84,451",          0.99
1111051500,서울특별시 종로구 청운효자동,"15,260","6,060",          2.52,"7,384","7,876",          0.94
1111053000,서울특별시 종로구 사직동,"10,150","4,646",          2.18,"4,701","5,449",          0.86
1111054000,서울특별시 종로구 삼청동,"3,415","1,606",          2.13,"1,643","1,772",          0.93
1111055000,서울특별시 종로구 부암동,"11,369","4,611",          2.47,"5,629","5,740",          0.98
1111056000,서울특별시 종로구 평창동,"19,677","7,381",          2.67,"9,443","10,234",          0.92
1111057000,서울특별시 종로구 무악동,"8,562","3,271",          2.62,"4,115","4,447",          0.93
1111058000,서울특별시 종로구 교남동,"9,048","4,473",          2.02,"4,493","4,555",          0.99
1111060000,서울특별시 종로구 가회동,"5,555","2,469",          2.25,"2,667","2,888",          0.92
1111061500,서울특별시 종로구 종로1.2.3.4가동,"7,923","5,213",          1.52,"4,533","3,390",          1.34
1111063000,서울특별시 종로구 종로5.6가동,"6,156","3,140",          1.96,"3,319","2,837",          1.17
1111064000,서울특별시 종로구 이화동,"9,252","4,551",          2.03,"4,446","4,806",          0.93
1111065000,서울특별시 종로구 혜화동,"12,172","5,827",          2.09,"5,926","6,246",          0.95
1111066000,서울특별시 종로구 명륜3가동,"6,246","3,496",          1.79,"3,283","2,963",          1.11
1111067000,서울특별시 종로구 창신제1동,"6,854","3,611",          1.90,"3,619","3,235",          1.12
1111068000,서울특별시 종로구 창신제2동,"11,486","5,055",          2.27,"5,844","5,642",          1.04
1111069000,서울특별시 종로구 창신제3동,"8,549","3,147",          2.72,"4,258","4,291",          0.99
1111070000,서울특별시 종로구 숭인제1동,"7,450","3,297",          2.26,"3,748","3,702",          1.01
1111071000,서울특별시 종로구 숭인제2동,"9,258","4,834",          1.92,"4,880","4,378",          1.11
1114000000,서울특별시 중구 ,"133,193","61,475",          2.17,"67,065","66,128",          1.01
1114052000,서울특별시 중구 소공동,"1,301",696,          1.87,689,612,          1.13
1114054000,서울특별시 중구 회현동,"5,676","3,476",          1.63,"3,111","2,565",          1.21
1114055000,서울특별시 중구 명동,"3,411","1,702",          2.00,"1,525","1,886",          0.81
1114057000,서울특별시 중구 필동,"4,616","2,435",          1.90,"2,481","2,135",          1.16
1114058000,서울특별시 중구 장충동,"5,596","2,930",          1.91,"2,880","2,716",          1.06
1114059000,서울특별시 중구 광희동,"5,698","3,125",          1.82,"3,066","2,632",          1.16
1114060500,서울특별시 중구 을지로동,"2,027","1,405",          1.44,"1,261",766,          1.65
1114061000,서울특별시 중구 신당제1동,"8,187","4,126",          1.98,"4,217","3,970",          1.06
1114062000,서울특별시 중구 신당제2동,"16,647","7,302",          2.28,"8,253","8,394",          0.98
1114063000,서울특별시 중구 신당제3동,"19,523","8,012",          2.44,"9,417","10,106",          0.93
1114064000,서울특별시 중구 신당제4동,"15,991","6,510",          2.46,"7,727","8,264",          0.94
1114065000,서울특별시 중구 신당제5동,"9,404","4,286",          2.19,"4,746","4,658",          1.02
1114066000,서울특별시 중구 신당제6동,"10,144","3,847",          2.64,"4,966","5,178",          0.96
1114067000,서울특별시 중구 황학동,"12,523","5,887",          2.13,"6,418","6,105",          1.05
1114068000,서울특별시 중구 중림동,"12,449","5,736",          2.17,"6,308","6,141",          1.03
1117000000,서울특별시 용산구 ,"246,501","112,617",          2.19,"120,183","126,318",          0.95
1117051000,서울특별시 용산구 후암동,"20,156","9,188",          2.19,"10,085","10,071",          1.00
1117052000,서울특별시 용산구 용산2가동,"13,142","6,179",          2.13,"6,371","6,771",          0.94
1117053000,서울특별시 용산구 남영동,"7,852","5,148",          1.53,"4,668","3,184",          1.47
1117055500,서울특별시 용산구 청파동,"23,634","11,748",          2.01,"11,469","12,165",          0.94
1117056000,서울특별시 용산구 원효로제1동,"12,523","5,674",          2.21,"6,263","6,260",          1.00
1117057000,서울특별시 용산구 원효로제2동,"15,815","6,093",          2.60,"7,566","8,249",          0.92
1117058000,서울특별시 용산구 효창동,"11,373","4,532",          2.51,"5,581","5,792",          0.96
1117059000,서울특별시 용산구 용문동,"13,311","5,232",          2.54,"6,531","6,780",          0.96
1117062500,서울특별시 용산구 한강로동,"15,518","7,903",          1.96,"7,802","7,716",          1.01
1117063000,서울특별시 용산구 이촌제1동,"27,107","9,997",          2.71,"12,681","14,426",          0.88
1117064000,서울특별시 용산구 이촌제2동,"10,482","4,381",          2.39,"5,029","5,453",          0.92
1117065000,서울특별시 용산구 이태원제1동,"8,556","4,503",          1.90,"3,940","4,616",          0.85
1117066000,서울특별시 용산구 이태원제2동,"11,213","5,428",          2.07,"5,230","5,983",          0.87
1117068500,서울특별시 용산구 한남동,"23,808","12,296",          1.94,"11,492","12,316",          0.93
1117069000,서울특별시 용산구 서빙고동,"14,186","5,608",          2.53,"6,850","7,336",          0.93
1117070000,서울특별시 용산구 보광동,"17,825","8,707",          2.05,"8,625","9,200",          0.94
1120000000,서울특별시 성동구 ,"300,711","126,148",          2.38,"150,655","150,056",          1.00
1120052000,서울특별시 성동구 왕십리제2동,"17,386","7,076",          2.46,"8,623","8,763",          0.98
1120053500,서울특별시 성동구 왕십리도선동,"12,802","5,726",          2.24,"6,376","6,426",          0.99
1120054000,서울특별시 성동구 마장동,"25,495","10,248",          2.49,"12,789","12,706",          1.01
1120055000,서울특별시 성동구 사근동,"10,709","5,872",          1.82,"5,706","5,003",          1.14
1120056000,서울특별시 성동구 행당제1동,"17,750","7,573",          2.34,"8,740","9,010",          0.97
1120057000,서울특별시 성동구 행당제2동,"27,015","9,687",          2.79,"12,963","14,052",          0.92
1120058000,서울특별시 성동구 응봉동,"17,581","6,585",          2.67,"8,461","9,120",          0.93
1120059000,서울특별시 성동구 금호1가동,"16,114","6,318",          2.55,"7,893","8,221",          0.96
1120061500,서울특별시 성동구 금호2.3가동,"20,002","8,229",          2.43,"9,718","10,284",          0.94
1120062000,서울특별시 성동구 금호4가동,"14,969","6,267",          2.39,"7,389","7,580",          0.97
1120064500,서울특별시 성동구 옥수동,"21,755","9,009",          2.41,"10,621","11,134",          0.95
1120065000,서울특별시 성동구 성수1가제1동,"18,301","7,453",          2.46,"9,385","8,916",          1.05
1120066000,서울특별시 성동구 성수1가제2동,"18,712","8,122",          2.30,"9,469","9,243",          1.02
1120067000,서울특별시 성동구 성수2가제1동,"20,998","9,230",          2.27,"10,902","10,096",          1.08
1120069000,서울특별시 성동구 성수2가제3동,"11,931","5,339",          2.23,"6,193","5,738",          1.08
1120072000,서울특별시 성동구 송정동,"12,308","5,691",          2.16,"6,515","5,793",          1.12
1120079000,서울특별시 성동구 용답동,"16,883","7,723",          2.19,"8,912","7,971",          1.12
1121500000,서울특별시 광진구 ,"371,936","158,472",          2.35,"184,103","187,833",          0.98
1121571000,서울특별시 광진구 화양동,"21,109","12,754",          1.66,"10,440","10,669",          0.98
1121573000,서울특별시 광진구 군자동,"21,388","10,155",          2.11,"10,836","10,552",          1.03
1121574000,서울특별시 광진구 중곡제1동,"16,769","7,690",          2.18,"8,366","8,403",          1.00
1121575000,서울특별시 광진구 중곡제2동,"22,997","9,607",          2.39,"11,317","11,680",          0.97
1121576000,서울특별시 광진구 중곡제3동,"19,211","8,258",          2.33,"9,665","9,546",          1.01
1121577000,서울특별시 광진구 중곡제4동,"32,003","12,622",          2.54,"15,921","16,082",          0.99
1121578000,서울특별시 광진구 능동,"11,062","5,531",          2.00,"5,254","5,808",          0.90
1121581000,서울특별시 광진구 광장동,"35,406","11,575",          3.06,"17,317","18,089",          0.96
1121582000,서울특별시 광진구 자양제1동,"24,583","11,232",          2.19,"12,202","12,381",          0.99
1121583000,서울특별시 광진구 자양제2동,"29,216","11,614",          2.52,"14,622","14,594",          1.00
1121584000,서울특별시 광진구 자양제3동,"32,046","11,694",          2.74,"15,738","16,308",          0.97
1121584700,서울특별시 광진구 자양제4동,"26,169","12,566",          2.08,"13,279","12,890",          1.03
1121585000,서울특별시 광진구 구의제1동,"22,888","10,883",          2.10,"11,081","11,807",          0.94
1121586000,서울특별시 광진구 구의제2동,"26,931","10,730",          2.51,"13,392","13,539",          0.99
1121587000,서울특별시 광진구 구의제3동,"30,158","11,561",          2.61,"14,673","15,485",          0.95
1123000000,서울특별시 동대문구 ,"365,486","157,823",          2.32,"183,925","181,561",          1.01
1123053600,서울특별시 동대문구 용신동,"32,463","16,016",          2.03,"16,846","15,617",          1.08
1123054500,서울특별시 동대문구 제기동,"28,064","13,046",          2.15,"14,341","13,723",          1.05
