※ 매년 말일자 통계 현황,,,,,,,,,,,,,,,,,,,
,,2018년,,,,,,2019년,,,,,,2020년,,,,,
행정기관코드,행정기관,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
1100000000,서울특별시  ,"9,765,623","4,263,868",          2.29,"4,773,899","4,991,724",          0.96,"9,729,107","4,327,605",          2.25,"4,744,059","4,985,048",          0.95,"9,668,465","4,417,954",          2.19,"4,701,723","4,966,742",          0.95
1111000000,서울특별시 종로구 ,"153,065","73,735",          2.08,"74,825","78,240",          0.96,"151,290","73,947",          2.05,"73,746","77,544",          0.95,"149,384","75,003",          1.99,"72,635","76,749",          0.95
1111051500,서울특별시 종로구 청운효자동,"13,045","5,413",          2.41,"6,122","6,923",          0.88,"12,734","5,356",          2.38,"5,939","6,795",          0.87,"12,431","5,357",          2.32,"5,779","6,652",          0.87
1111053000,서울특별시 종로구 사직동,"9,546","4,528",          2.11,"4,295","5,251",          0.82,"9,535","4,621",          2.06,"4,297","5,238",          0.82,"9,526","4,758",          2.00,"4,264","5,262",          0.81
1111054000,서울특별시 종로구 삼청동,"2,836","1,408",          2.01,"1,333","1,503",          0.89,"2,758","1,396",          1.98,"1,326","1,432",          0.93,"2,640","1,342",          1.97,"1,272","1,368",          0.93
1111055000,서울특별시 종로구 부암동,"10,149","4,315",          2.35,"4,879","5,270",          0.93,"10,100","4,298",          2.35,"4,826","5,274",          0.92,"10,022","4,392",          2.28,"4,772","5,250",          0.91
1111056000,서울특별시 종로구 평창동,"18,951","7,592",          2.50,"8,895","10,056",          0.88,"18,659","7,520",          2.48,"8,739","9,920",          0.88,"18,391","7,522",          2.44,"8,550","9,841",          0.87
1111057000,서울특별시 종로구 무악동,"8,215","3,002",          2.74,"3,849","4,366",          0.88,"8,695","3,187",          2.73,"4,060","4,635",          0.88,"8,546","3,192",          2.68,"3,979","4,567",          0.87
1111058000,서울특별시 종로구 교남동,"10,701","4,576",          2.34,"4,993","5,708",          0.87,"10,562","4,583",          2.30,"4,915","5,647",          0.87,"10,477","4,602",          2.28,"4,848","5,629",          0.86
1111060000,서울특별시 종로구 가회동,"4,429","2,058",          2.15,"2,062","2,367",          0.87,"4,383","2,068",          2.12,"2,026","2,357",          0.86,"4,325","2,077",          2.08,"2,000","2,325",          0.86
