,,,,매출금액,매출금액,매출금액,매출금액,매출금액,매출금액
연도,,,,2017,2018,2019,2020,2021,2022
행정구역 구분 코드,행정구역 명,생활밀접업종 분류코드,생활밀접업종명,,,,,,
1,경기도,1,가구 소매업,697766901560.0,769089205237.0,733084387670.0,724745452214.0,724800420147.0,134246060946.0
1,경기도,1,가방 및 기타 가죽제품 소매업,43097120992.0,41228383219.0,35422194748.0,25239096307.0,26310726447.0,5247153343.0
1,경기도,1,가전제품 소매업,264547211365.0,323880744680.0,298868632156.0,351878910525.0,330786006694.0,65164738807.0
1,경기도,1,가정용 직물제품 소매업,208083306230.0,208235136432.0,207276287691.0,224520621687.0,224561317846.0,43002146768.0
1,경기도,1,건강 보조식품 소매업,211067328356.0,213848237704.0,226491391598.0,228117894118.0,228064600734.0,60289172326.0
1,경기도,1,"게임용구, 인형 및 장난감 소매업",161181122482.0,178568266236.0,177307121192.0,176906259837.0,168760417755.0,35039102321.0
1,경기도,1,"곡물, 곡분 및 가축 사료 소매업",117592760855.0,126101983139.0,123074938625.0,126887360451.0,123235079866.0,26814792921.0
1,경기도,1,그 외 기타 분류 안된 가정용품 소매업,101256989529.0,111006050126.0,109033293580.0,127566976865.0,141110264049.0,30857857128.0
1,경기도,1,기타 식료품 소매업,360383221901.0,420915519656.0,442513895763.0,566195777480.0,656561284600.0,171258035068.0
1,경기도,1,기타 음ㆍ식료품 위주 종합 소매업,891657918000.0,1107929998060.0,1236439360952.0,1266646152053.0,1309084420263.0,313490369162.0
1,경기도,1,기타 의복 소매업,804490981684.0,832642731921.0,784452669718.0,702211807001.0,702144714914.0,165464891829.0
1,경기도,1,남자용 겉옷 소매업,219591686358.0,225822502892.0,223403552174.0,178181929383.0,178177812962.0,37064540931.0
1,경기도,1,문구용품 및 회화용품 소매업,314841476861.0,309492799071.0,329005560449.0,298889250469.0,298844927727.0,70613601861.0
1,경기도,1,"서적, 신문 및 잡지류 소매업",281695051078.0,287396363314.0,318208764392.0,289737901055.0,289731566344.0,82039589122.0
1,경기도,1,"섬유 원단, 실 및 기타 섬유제품 소매업",19053014421.0,20491305474.0,22845039499.0,20756823453.0,17697026074.0,5053041972.0
1,경기도,1,셔츠 및 블라우스 소매업,7551718806.0,5713687972.0,3896842510.0,2232407368.0,1677150565.0,321410963.0
1,경기도,1,속옷 및 잠옷 소매업,205729722690.0,188843591848.0,178066678084.0,168016674956.0,168019602981.0,32302191040.0
1,경기도,1,슈퍼마켓,1390750883878.0,1564354179678.0,1537905056784.0,1895546798126.0,1868509416988.0,470131290058.0
1,경기도,1,시계 및 귀금속 소매업,239888577278.0,250096141565.0,240380452935.0,212511662700.0,212511634591.0,69700912321.0
1,경기도,1,신발 소매업,145504380135.0,141343788624.0,127864372949.0,104277702521.0,103801274171.0,19568795774.0
1,경기도,1,안경 및 렌즈 소매업,418089451604.0,430694035205.0,453028491424.0,419851898063.0,419819660523.0,102624750293.0
1,경기도,1,애완용 동물 및 관련용품 소매업,216670312712.0,240661012776.0,257807071954.0,254691710070.0,254736644282.0,77498039921.0
1,경기도,1,여자용 겉옷 소매업,2801480331.0,2068222078.0,2479998298.0,1568199266.0,2158891483.0,186169081.0
1,경기도,1,운동 및 경기용품 소매업,414973370919.0,392751285199.0,406896348658.0,407603689625.0,407640323194.0,87112806850.0
1,경기도,1,육류 소매업,1726336477073.0,1694430019850.0,1720662886984.0,1859941703647.0,1860027873607.0,541166335926.0
1,경기도,1,의약품 및 의료용품 소매업,2875924961852.0,3080860667087.0,3255439183512.0,3523604796231.0,3524371873118.0,944977691109.0
1,경기도,1,자전거 및 기타 운송장비 소매업,43106371072.0,23344935144.0,24916094508.0,24819619281.0,28912224823.0,8464527495.0
1,경기도,1,전기용품 및 조명장치 소매업,146644746092.0,145192701899.0,136717774436.0,134593677272.0,132472969478.0,30374184870.0
1,경기도,1,전자상거래 소매 중개업,899984629533.0,1370959336655.0,1353766143712.0,1427296392013.0,2054642227744.0,798946582634.0
1,경기도,1,전자상거래 소매업,875161472193.0,2073038487631.0,2825602337769.0,3677035533426.0,4168811047677.0,1132374817312.0
1,경기도,1,"주방용품 및 가정용 유리, 요업제품 소매업",206695240887.0,214471682555.0,220370700157.0,211480888932.0,211478710292.0,53710654943.0
1,경기도,1,철물 및 난방용구 소매업,478478262095.0,499459271794.0,493065518218.0,489395228743.0,489273937521.0,129064584534.0
1,경기도,1,체인화 편의점,4570535837404.0,4945590738327.0,4951673768472.0,4630644638186.0,4629855669332.0,1236249516961.0
